"movie_id","movie_name","year","certificate","runtime","rating","director","star","votes","gross(in $)"
"tt1732651","Ghost Shark 2: Urban Jaws","2015","-","70 min","2.6","Johnny Hall#Andrew Todd","Johnny Hall#Campbell Cooley#Roberto Nascimento#Kathleen Burns","250","-"
"tt0477988","Jean-Philippe","2006","Not Rated","90 min","6.1","Laurent Tuel","Fabrice Luchini#Johnny Hallyday#Guilaine Londez#Élodie Bollée","1955","-"
"tt0301394","Hellbound Train","1930","-","50 min","5.2","Eloyce Gist#James Gist","-","264","-"
"tt10272460","Infernal Guidon, or Cossack Christmas","2019","-","110 min","7","Misha Kostrov","Aleksandr Pozharskiy#Kostyantyn Linartovych#Hryhorii Baklanov#Diana Rozovlyan","258","-"
"tt0094297","Jaka Sembung & Bergola Ijo","1985","-","94 min","5.9","H. Tjut Djalil","Barry Prima#El Manik#Rita Zahara#Syamsuri Kaempuan","55","-"
"tt13646616","Say Goodbye to Hollywood","2022","-","-","7.2","Steve Helgoth","Michael Collins#Balta Monkiki#Carey Embry#Daesha Lynn","30","-"
"tt0417782","My Mother, the Mermaid","2004","Unrated","110 min","6.6","Heung-sik Park","Jeon Do-yeon#Park Hae-il#Du-shim Ko#Kim Bu-seon","372","-"
"tt0358182","Suraj Aur Chanda","1973","-","131 min","6.8","T. Madhava Rao","Sanjeev Kumar#Rita Haksar#Sujit Kumar#Jagdeep","21","-"
"tt14235280","Trans","2021","-","93 min","4.8","Naeri Do","Jeong-in Hwang#Taeyoung Kim#Yoon Kyung-ho","20","-"
"tt1883290","Pak! Pak! My Dr. Kwak!","2011","-","115 min","6.2","Tony Y. Reyes","Vic Sotto#Bea Alonzo#Zaijian Jaranilla#Xyriel Manabat","54","-"
"tt0041919","Stop Press Girl","1949","-","78 min","6.1","Michael Barry","Sally Ann Howes#Gordon Jackson#Basil Radford#Naunton Wayne","161","-"
"tt2505478","Mariah Mundi and the Tablets of Destiny","-","-","-","-","-","-","-","-"
"tt0205778","A Question of Faith","2000","PG-13","90 min","6.6","Tim Disney","Bernard Hill#Paul Guilfoyle#Daniel von Bargen#Naveen Andrews","81","15047"
"tt0360490","Creature of the Mist","2002","-","84 min","3.2","Karl Roulston","Donna Bender#Danielle Ciardi#Alan Jasper#James Maxwell","31","-"
"tt0087612","Leonora","1984","-","85 min","4.2","Derek Strachan","Mandi Miller#Leon Marvell#David Evans#Angela Menzies-Wills","44","-"
"tt0346489","Ang Alamat ng Lawin","2002","-","100 min","5.4","Fernando Poe Jr.","Fernando Poe Jr.#Ina Raymundo#Cathy Villar#Khen Kurllo","21","-"
"tt22048932","El extraño caso del fantasma claustrofóbico","-","-","-","-","Alejandro Sugich","Danae Reynaud#Lukas Urquijo#Gregorio Urquijo#Ana Emilia","-","-"
"tt21060300","Dark World","2021","-","104 min","4.1","Jittsin Pongintarakul","David Asavanond#Sammy Cowell#Rusameekae Fagerlund#Willy McIntosh","14","-"
"tt2641186","The Lost Girls","2014","-","-","5.3","Leigh Scott","Eliza Swenson#Martin Ewens#Alexandra Turshen#Robin Rose Singer","25","-"
"tt3604312","How It Ends","-","PG-13","105 min","-","Logan Hunter#Byron Jordan Wolter","Tony Bartele#Callie Burk#Charity Farrell#S.G. Stratigos","-","-"
"tt5976054","Skullz","2020","-","90 min","3.5","Deanna Dewey","Henry Douthwaite#Tim Faraday#Amy Loughton#Gemma Wilks","130","-"
"tt0348087","Spirit Warriors","2000","-","101 min","6.3","Chito S. Roño","Joel Torre#Jhong Hilario#Spencer Reyes#Vhong Navarro","330","-"
"tt9755660","A Hairy Tale","2019","-","102 min","6.3","Homayoun Ghanizadeh","Ali Nassirian#Saber Abar#Babak Hamidian#Reza Kianian","1318","-"
